Sex,Job,Age,Salary,Experience,Education,Direction,Awards,smoker,year_of_employment,company
Male,Manager,56,152081,4,PhD,Administration,4621,1,2019,BCG
Male,Graphic Designer,44,66611,1,PhD,Sales,5924,0,2019,Bain
Female,Graphic Designer,44,100416,4,High School,Administration,7513,0,2021,Accenture
Female,Data Scientist,21,65816,2,PhD,Engineering,6817,0,2022,EY
Female,Marketing Associate,58,60271,1,High School,Operations,3927,0,2022,Amazon
Female,Manager,25,119033,5,Masters,Management,6381,0,2023,EY
Female,Marketing Associate,23,62054,3,PhD,Administration,6955,0,2021,BCG
Female,Marketing Associate,26,63695,3,College,Management,8897,0,2023,Microsoft
Male,Financial Analyst,47,91905,3,College,Operations,7614,0,2019,Amazon
Male,Warehouse Associate,56,79274,2,Masters,Administration,4618,0,2022,EY
Female,Sales Associate,29,56745,2,PhD,Operations,6495,0,2019,Google
Male,Driver,49,104657,5,College,Sales,6839,0,2021,Deloitte
Male,Manager,62,117648,1,PhD,Engineering,4765,0,2019,Amazon
Female,Marketing Associate,65,98575,3,High School,Engineering,5410,0,2021,Amazon
Female,Graphic Designer,26,74167,3,PhD,Sales,10346,0,2019,McKinsey
Male,Driver,40,68797,2,College,Engineering,7817,0,2019,IBM
Male,IT,55,127769,5,College,Management,8802,0,2022,PwC
Male,IT,18,47036,1,High School,Engineering,9130,0,2019,BCG
Male,Software Engineer,56,107366,3,College,Operations,7774,1,2021,Accenture
Female,Sales Associate,35,106524,5,College,Engineering,9941,0,2020,Deloitte
Male,IT,62,118314,4,Masters,Engineering,4892,0,2021,Deloitte
Female,Marketing Associate,48,86563,5,College,Operations,4415,0,2021,Microsoft
Female,Marketing Associate,52,97696,3,PhD,Sales,3888,0,2020,Bain
Male,Sales Associate,20,37898,1,College,Operations,6448,1,2023,EY
Male,Software Engineer,29,86650,1,High School,Sales,3518,1,2022,PwC
Female,Marketing Associate,55,63327,1,High School,Administration,4066,0,2021,PwC
Male,IT,50,85648,3,College,Operations,2728,0,2022,Accenture
Female,IT,49,75811,1,College,Engineering,5520,0,2021,BCG
Male,Manager,55,120574,1,High School,Administration,2683,0,2022,McKinsey
Male,Software Engineer,18,97523,5,PhD,Engineering,10240,1,2022,IBM
Female,Sales Associate,51,72120,1,Masters,Management,9084,1,2021,Deloitte
Male,Warehouse Associate,33,100465,5,College,Engineering,5520,1,2021,Capgemini
Male,Warehouse Associate,39,77793,3,PhD,Operations,8093,0,2023,Amazon
Male,Warehouse Associate,35,74829,2,High School,Administration,4263,0,2022,PwC
Male,IT,59,98995,2,Masters,Sales,4596,0,2022,Capgemini
Male,IT,47,82126,1,PhD,Operations,6971,1,2019,BCG
Female,Warehouse Associate,19,37026,1,High School,Operations,8636,0,2020,Bain
Female,Warehouse Associate,28,62260,1,Masters,Operations,7740,0,2019,IBM
Male,Driver,21,61018,2,High School,Sales,5513,0,2019,Capgemini
Male,Driver,38,102966,4,PhD,Engineering,8978,0,2021,EY
Male,Financial Analyst,51,113730,4,PhD,Operations,6578,0,2022,Bain
Female,Graphic Designer,18,78462,3,PhD,Operations,8743,0,2023,IBM
Female,Graphic Designer,55,118762,5,College,Sales,6545,0,2022,Amazon
Male,Software Engineer,27,96040,4,PhD,Management,10050,0,2020,Google
Male,Software Engineer,59,160460,5,College,Sales,2930,1,2019,Capgemini
Male,Financial Analyst,39,99643,4,College,Engineering,3789,0,2021,Google
Male,IT,40,109345,5,College,Administration,7791,0,2023,Microsoft
Female,Financial Analyst,49,126626,4,Masters,Sales,7144,0,2022,McKinsey
Male,Software Engineer,63,134757,2,PhD,Engineering,5944,0,2021,Bain
Female,Graphic Designer,43,80635,1,PhD,Engineering,4322,1,2021,Microsoft
Female,Warehouse Associate,25,92358,4,Masters,Operations,9611,1,2022,McKinsey
Male,Data Scientist,19,80171,5,PhD,Management,6454,1,2022,IBM
Female,Sales Associate,50,106279,3,Masters,Sales,3892,0,2023,Bain
Female,Warehouse Associate,50,108922,5,Masters,Engineering,8477,1,2019,Deloitte
Female,Marketing Associate,59,93018,3,Masters,Sales,2730,0,2020,Deloitte
Male,Software Engineer,53,89225,1,High School,Operations,5751,1,2022,McKinsey
Male,Software Engineer,27,66084,1,Masters,Engineering,7769,0,2022,Google
Male,Warehouse Associate,24,71371,3,College,Engineering,5220,0,2022,BCG
Male,Manager,59,127013,2,College,Engineering,6124,0,2021,Bain
Male,Software Engineer,21,91674,4,High School,Management,9780,0,2023,IBM
Female,Marketing Associate,35,58807,2,Masters,Sales,7316,1,2019,BCG
Male,Sales Associate,21,90386,5,High School,Engineering,9461,0,2021,Google
Female,Marketing Associate,57,79674,3,College,Operations,6993,0,2022,Google
Male,Data Scientist,35,98959,5,College,Operations,6572,0,2022,Deloitte
Female,Financial Analyst,65,96665,2,High School,Administration,2645,0,2022,EY
Female,Data Scientist,40,100505,5,Masters,Management,4626,0,2020,BCG
Female,Marketing Associate,37,86036,3,PhD,Administration,7567,0,2019,Amazon
Male,IT,27,57500,3,High School,Management,3665,0,2021,IBM
Male,Manager,21,121682,5,College,Administration,7189,1,2021,Amazon
Male,Data Scientist,29,67617,1,High School,Administration,9075,0,2020,McKinsey
Female,IT,65,106945,1,Masters,Administration,2041,0,2022,EY
Female,Marketing Associate,24,57782,4,PhD,Operations,7144,0,2020,BCG
Male,Graphic Designer,53,93073,2,High School,Operations,8188,0,2023,McKinsey
Female,Driver,52,78750,2,College,Administration,6666,0,2023,Microsoft
Male,Driver,42,111726,4,PhD,Operations,5989,0,2023,Amazon
Male,IT,34,91066,4,College,Sales,6257,0,2021,Microsoft
Female,Data Scientist,33,71946,3,High School,Administration,6386,0,2019,BCG
Male,Software Engineer,31,92928,3,High School,Operations,9094,0,2020,Microsoft
Male,Graphic Designer,29,73142,3,Masters,Operations,4712,0,2023,PwC
Male,IT,55,104361,3,College,Sales,7813,0,2022,Google
Male,IT,27,90542,3,PhD,Operations,7554,0,2020,PwC
Male,Driver,40,97414,2,College,Management,8833,0,2021,Amazon
Female,Driver,50,91160,2,College,Operations,5863,0,2021,BCG
Male,Warehouse Associate,38,82244,2,High School,Administration,6020,0,2022,Amazon
Male,Sales Associate,63,85948,1,High School,Sales,7646,0,2020,PwC
Female,Driver,51,72827,1,College,Operations,7285,0,2021,BCG
Female,Driver,52,78751,1,High School,Operations,6258,0,2020,Microsoft
Female,IT,54,112502,5,High School,Engineering,3988,0,2021,Capgemini
Male,Software Engineer,42,103978,1,College,Management,5146,0,2020,Accenture
Male,Financial Analyst,29,111019,5,Masters,Engineering,10042,0,2019,BCG
Female,IT,32,59377,1,High School,Engineering,5236,1,2019,Google
Female,IT,56,101791,2,Masters,Management,6083,1,2023,Microsoft
Female,Marketing Associate,42,88365,5,College,Administration,4668,0,2023,IBM
Female,IT,20,70890,4,PhD,Operations,10126,0,2021,Bain
Female,IT,49,108495,3,College,Management,8668,0,2022,Deloitte
Male,Marketing Associate,21,86886,5,College,Management,9424,1,2021,BCG
Male,Software Engineer,30,76654,5,College,Administration,6696,0,2021,Google
Female,Sales Associate,62,93268,2,College,Operations,7657,0,2022,Capgemini
Female,Sales Associate,31,77275,3,High School,Operations,7089,0,2021,Amazon
Male,Warehouse Associate,40,102815,4,Masters,Sales,9090,0,2021,Bain
Female,Sales Associate,61,83308,2,High School,Sales,3653,0,2020,Amazon
Male,Manager,22,90736,4,Masters,Operations,6219,1,2019,McKinsey
Male,Graphic Designer,22,72422,3,High School,Sales,5697,0,2021,Bain
Male,Software Engineer,33,87352,2,PhD,Administration,8435,0,2019,Amazon
Male,Software Engineer,56,139760,5,PhD,Administration,9229,0,2023,Google
Male,Warehouse Associate,26,72945,3,High School,Sales,7279,0,2022,Google
Male,Warehouse Associate,23,92516,4,High School,Administration,5866,0,2021,Google
Female,Financial Analyst,23,78084,4,High School,Management,5598,0,2020,Microsoft
Male,Manager,20,100183,3,Masters,Operations,6363,1,2022,Bain
Female,Warehouse Associate,22,68300,2,Masters,Sales,5953,0,2019,Bain
Female,Data Scientist,49,71193,3,College,Operations,8331,0,2021,Microsoft
Female,Manager,24,104202,3,PhD,Sales,8456,0,2019,PwC
Male,Marketing Associate,47,93054,3,PhD,Sales,4243,0,2022,McKinsey
Male,Financial Analyst,18,97328,4,PhD,Engineering,9874,1,2022,PwC
Female,Sales Associate,19,90426,4,College,Management,5020,0,2021,Capgemini
Female,Marketing Associate,41,36972,2,High School,Administration,7058,0,2023,Deloitte
Male,Financial Analyst,31,82790,3,PhD,Administration,5826,1,2020,IBM
Female,Marketing Associate,48,86538,4,High School,Administration,4212,1,2021,PwC
Male,IT,62,105771,2,PhD,Management,2978,0,2023,EY
Female,Driver,50,86122,2,High School,Engineering,6295,0,2019,EY
Male,Sales Associate,54,92468,3,College,Administration,3242,0,2023,McKinsey
Female,Data Scientist,38,127156,5,Masters,Administration,9979,0,2020,EY
Male,Financial Analyst,49,102716,4,High School,Engineering,8290,0,2023,Deloitte
Male,Data Scientist,23,83894,3,High School,Sales,6922,1,2020,Capgemini
Male,Software Engineer,62,138184,3,PhD,Engineering,4664,0,2021,BCG
Female,Graphic Designer,47,108731,5,High School,Operations,4793,0,2022,IBM
Female,Data Scientist,34,82345,1,PhD,Administration,7211,1,2020,PwC
Male,Graphic Designer,21,72301,4,Masters,Engineering,8391,0,2023,Capgemini
Male,Software Engineer,26,77309,2,College,Administration,7957,0,2020,IBM
Male,IT,43,98515,4,College,Operations,9090,1,2019,PwC
Male,Manager,18,115567,5,Masters,Management,4775,1,2020,EY
Female,Financial Analyst,26,48570,2,College,Administration,6604,0,2023,McKinsey
Female,Marketing Associate,46,69268,2,PhD,Sales,7106,0,2022,Capgemini
Male,Manager,57,143189,4,Masters,Administration,6321,0,2023,McKinsey
Male,Driver,24,81301,3,College,Engineering,5713,1,2022,IBM
Male,Sales Associate,51,110746,4,PhD,Operations,5947,0,2022,Microsoft
Male,Graphic Designer,53,107065,4,High School,Operations,3652,0,2023,Amazon
Male,IT,53,126828,5,PhD,Management,9310,0,2022,Microsoft
Male,Sales Associate,53,101133,5,Masters,Management,4700,0,2021,Bain
Female,Manager,53,129885,3,High School,Operations,7314,0,2020,Capgemini
Female,Graphic Designer,51,108241,3,College,Operations,8602,0,2019,Microsoft
Male,Financial Analyst,30,83620,1,Masters,Sales,7864,0,2021,Google
Female,IT,26,81325,3,College,Sales,5647,0,2022,Deloitte
Female,Marketing Associate,33,46903,2,High School,Operations,8130,0,2020,Bain
Male,Software Engineer,20,92289,4,PhD,Engineering,6643,0,2019,Amazon
Female,Financial Analyst,30,114007,5,Masters,Administration,9248,0,2023,BCG
Female,Marketing Associate,39,103384,5,College,Sales,9168,0,2021,Capgemini
Female,Data Scientist,65,121239,2,PhD,Operations,3078,0,2022,BCG
Female,Marketing Associate,56,107370,5,High School,Operations,4916,0,2019,PwC
Male,Graphic Designer,49,126100,5,Masters,Operations,6336,0,2023,Bain
Female,Marketing Associate,56,81661,3,High School,Sales,4965,0,2021,Capgemini
Male,Software Engineer,18,80355,3,College,Operations,9945,0,2023,Accenture
Female,Marketing Associate,34,79707,5,High School,Sales,7196,0,2023,BCG
Male,IT,36,65225,2,Masters,Engineering,6462,0,2022,McKinsey
Female,Marketing Associate,45,85161,4,College,Engineering,6682,0,2020,IBM
Female,Driver,58,130720,5,High School,Sales,7246,0,2022,Deloitte
Female,Warehouse Associate,51,121376,5,High School,Management,7832,0,2023,EY
Female,Marketing Associate,33,49830,1,High School,Engineering,8543,0,2023,McKinsey
Female,Sales Associate,35,84844,1,PhD,Sales,7205,0,2022,Microsoft
Male,Financial Analyst,39,116875,4,Masters,Engineering,5479,0,2019,IBM
Female,Marketing Associate,36,77223,3,Masters,Sales,5272,0,2021,Capgemini
Male,Financial Analyst,35,98900,5,PhD,Operations,7960,0,2019,Amazon
Female,IT,43,127062,5,PhD,Administration,9619,0,2022,Google
Female,Marketing Associate,62,77584,1,College,Sales,4524,0,2022,EY
Female,Marketing Associate,56,99543,4,Masters,Sales,4442,1,2021,Amazon
Female,Sales Associate,57,101423,3,Masters,Operations,3641,0,2019,EY
Female,Sales Associate,65,142505,5,PhD,Sales,4214,0,2021,IBM
Male,Data Scientist,45,122037,5,PhD,Administration,8147,0,2023,Accenture
Male,Software Engineer,59,124817,4,High School,Operations,7268,0,2021,Bain
Female,Graphic Designer,61,91030,1,Masters,Engineering,3318,0,2019,Amazon
Male,Software Engineer,36,93855,1,Masters,Operations,4099,0,2019,Capgemini
Male,Driver,36,88213,3,PhD,Operations,8581,0,2020,BCG
Female,Marketing Associate,24,82338,5,Masters,Operations,7414,1,2022,Bain
Female,Driver,20,66203,3,College,Management,5627,0,2022,BCG
Male,Driver,39,100183,4,High School,Engineering,8832,0,2020,Capgemini
Male,Data Scientist,58,86651,1,High School,Operations,7250,0,2021,IBM
Male,Manager,59,133910,3,College,Engineering,5795,1,2023,Capgemini
Male,Manager,42,125339,4,College,Sales,6019,0,2020,EY
Male,Graphic Designer,22,40187,1,PhD,Administration,8549,0,2020,Amazon
Female,Warehouse Associate,39,77584,2,College,Engineering,9798,0,2019,Capgemini
Male,Sales Associate,60,112604,3,College,Operations,3366,1,2019,BCG
Female,Warehouse Associate,45,106963,5,High School,Administration,5084,0,2022,PwC
Male,Data Scientist,62,101284,2,High School,Operations,4993,0,2020,McKinsey
Male,Financial Analyst,39,87409,3,PhD,Management,7168,1,2022,Microsoft
Male,Graphic Designer,56,114048,4,Masters,Management,5097,0,2023,Accenture
Male,IT,23,64468,1,PhD,Administration,8113,1,2020,Google
Male,Financial Analyst,45,75397,2,High School,Operations,6490,1,2023,Deloitte
Female,IT,22,37780,1,Masters,Sales,8443,0,2020,McKinsey
Male,Warehouse Associate,25,58130,1,Masters,Engineering,6327,0,2022,Bain
Female,IT,48,88152,3,PhD,Operations,8857,0,2019,PwC
Male,Software Engineer,64,139068,4,PhD,Engineering,4126,0,2019,IBM
Male,Financial Analyst,58,104744,3,Masters,Operations,6425,0,2020,EY
Male,Financial Analyst,26,104435,4,College,Operations,7802,0,2021,McKinsey
Female,Driver,19,79291,2,College,Sales,5000,0,2022,Microsoft
Female,Manager,59,136215,2,High School,Management,3603,0,2023,Microsoft
Male,Software Engineer,60,127250,4,PhD,Administration,4263,1,2023,IBM
Male,Financial Analyst,36,93067,1,PhD,Operations,5103,0,2019,Capgemini
Female,Driver,63,104468,1,High School,Sales,4466,0,2022,Accenture
Female,Marketing Associate,55,71794,1,Masters,Operations,6685,0,2021,IBM
Female,Marketing Associate,51,79237,2,High School,Management,4453,0,2020,BCG
Male,Sales Associate,29,61164,2,Masters,Management,6346,1,2021,Bain
Female,Graphic Designer,59,125770,4,PhD,Management,8013,0,2019,Deloitte
Male,Data Scientist,54,97311,2,College,Sales,3083,0,2019,Amazon
Male,Warehouse Associate,31,66407,2,High School,Engineering,7522,0,2021,PwC
Female,Manager,62,155203,4,Masters,Sales,7808,0,2020,PwC
Female,Financial Analyst,49,92891,1,College,Operations,3578,0,2022,PwC
Male,Manager,31,110643,2,PhD,Engineering,7291,0,2021,EY
Male,Warehouse Associate,48,62097,1,College,Sales,7075,1,2023,BCG
Male,Sales Associate,60,106798,3,High School,Administration,5201,0,2022,Amazon
Male,Financial Analyst,47,64852,2,College,Administration,8023,0,2023,Microsoft
Female,Marketing Associate,25,39741,1,High School,Sales,4981,1,2021,PwC
Female,Warehouse Associate,47,87575,2,College,Administration,4422,0,2020,Google
Female,Sales Associate,27,66377,2,College,Operations,5803,0,2022,Capgemini
Female,Marketing Associate,23,55885,2,College,Sales,3795,0,2021,Microsoft
Female,Sales Associate,34,102745,5,High School,Management,6303,0,2021,Google
Male,Driver,31,82832,4,College,Management,9958,0,2022,Bain
Female,Marketing Associate,18,75294,5,Masters,Management,6496,0,2020,Bain
Male,Warehouse Associate,34,104271,4,PhD,Engineering,10177,0,2020,Capgemini
Female,Driver,42,120112,5,Masters,Sales,5070,0,2022,PwC
Female,Data Scientist,32,78623,4,College,Management,9012,0,2021,Bain
Male,Software Engineer,54,125572,4,PhD,Administration,8245,1,2020,McKinsey
Female,Sales Associate,46,83095,2,Masters,Management,5284,1,2019,Accenture
Male,Manager,45,123422,3,High School,Engineering,8894,1,2023,Capgemini
Female,Marketing Associate,27,67530,5,High School,Administration,9311,1,2020,IBM
Male,Software Engineer,25,119024,5,Masters,Sales,11293,0,2020,Bain
Male,Financial Analyst,58,120154,4,College,Management,6751,1,2022,Bain
Male,Data Scientist,24,60736,2,Masters,Sales,7873,0,2023,McKinsey
Male,Sales Associate,56,82164,1,High School,Operations,2611,1,2023,Google
Female,Graphic Designer,18,41603,1,College,Administration,6092,0,2019,Google
Male,Manager,21,89648,3,PhD,Operations,6573,0,2019,Capgemini
Male,Data Scientist,30,72497,3,College,Operations,6452,1,2021,IBM
Male,Software Engineer,23,95754,3,Masters,Engineering,6596,0,2021,Accenture
Male,Driver,18,56318,3,PhD,Operations,8407,0,2023,Amazon
Male,Software Engineer,62,132815,3,High School,Sales,3367,0,2023,Accenture
Male,Manager,48,109346,1,College,Management,7730,0,2022,McKinsey
Female,Graphic Designer,58,108820,3,PhD,Sales,7776,0,2021,Deloitte
Male,Sales Associate,18,59334,3,Masters,Administration,5729,1,2021,Google
Male,Warehouse Associate,37,82343,1,Masters,Administration,5232,1,2022,Capgemini
Male,Sales Associate,22,57783,1,High School,Administration,9306,0,2020,BCG
Male,Data Scientist,26,80494,3,High School,Management,8449,0,2019,Amazon
Male,Software Engineer,55,121910,3,PhD,Management,4494,0,2020,Google
Male,Graphic Designer,39,106883,5,Masters,Operations,5831,1,2022,BCG
Male,Manager,25,131311,5,College,Engineering,11067,1,2023,Capgemini
Female,Warehouse Associate,37,92722,5,High School,Engineering,8010,0,2020,EY
Female,Manager,41,113009,1,PhD,Management,6812,0,2022,Accenture
Male,Graphic Designer,60,97240,1,Masters,Engineering,5412,0,2020,Capgemini
Female,Warehouse Associate,41,92080,3,College,Engineering,6897,0,2023,McKinsey
Male,Sales Associate,62,129620,3,College,Management,5608,0,2023,PwC
Female,IT,60,104589,2,Masters,Management,4536,0,2019,IBM
Female,Warehouse Associate,58,134109,4,Masters,Management,4184,0,2019,Deloitte
Male,Warehouse Associate,25,64994,1,College,Operations,4310,0,2021,Microsoft
Male,Driver,53,130082,5,Masters,Engineering,4734,0,2020,McKinsey
Female,Financial Analyst,48,119058,5,College,Engineering,4037,0,2023,Bain
Female,Data Scientist,57,114141,2,PhD,Operations,3746,0,2022,Capgemini
Male,Software Engineer,22,81503,3,Masters,Management,9729,0,2021,McKinsey
Male,Data Scientist,58,124166,5,PhD,Engineering,3875,0,2022,McKinsey
Female,Data Scientist,41,98366,2,PhD,Engineering,6398,0,2023,Google
Female,Driver,36,88175,3,Masters,Administration,5004,0,2019,IBM
Female,Graphic Designer,22,96045,4,Masters,Administration,9129,1,2021,EY
Female,Driver,56,101249,3,PhD,Sales,7329,1,2019,Deloitte
Female,Marketing Associate,64,128970,5,PhD,Sales,7346,0,2021,PwC
Male,Graphic Designer,22,69734,3,High School,Sales,5383,1,2021,EY
Female,Warehouse Associate,59,93441,2,College,Management,5499,0,2019,Google
Female,Graphic Designer,27,66125,1,PhD,Sales,8465,0,2021,EY
Male,Financial Analyst,43,108719,4,PhD,Sales,4143,0,2023,PwC
Male,IT,33,84878,1,Masters,Sales,5009,0,2019,Capgemini
Male,Financial Analyst,64,124151,3,High School,Administration,3392,1,2019,McKinsey
Male,Driver,56,100859,5,Masters,Sales,8388,1,2022,Microsoft
Female,Financial Analyst,63,129683,3,PhD,Engineering,5754,0,2023,BCG
Female,Software Engineer,27,65711,1,High School,Operations,7789,0,2023,BCG
Male,Sales Associate,44,100091,2,Masters,Administration,9185,1,2023,Google
Female,Financial Analyst,32,84047,4,High School,Administration,4683,0,2023,McKinsey
Male,Financial Analyst,36,71858,1,Masters,Operations,7475,0,2021,PwC
Male,Data Scientist,62,93742,3,College,Operations,6580,0,2023,BCG
Female,Driver,45,67150,2,College,Sales,3255,0,2021,Bain
Male,Manager,48,143887,4,PhD,Sales,7622,0,2020,Microsoft
Female,Graphic Designer,33,63914,1,High School,Sales,3521,0,2021,McKinsey
Female,Warehouse Associate,22,91568,5,High School,Sales,7139,0,2019,Capgemini
Male,Sales Associate,22,70595,4,High School,Sales,5234,0,2023,Microsoft
Male,Software Engineer,21,108476,5,College,Management,11128,0,2021,Microsoft
Female,Sales Associate,34,108288,4,High School,Sales,7491,0,2023,Accenture
Female,Marketing Associate,53,66438,1,College,Administration,6935,0,2022,EY
Female,Sales Associate,44,81866,3,High School,Engineering,5183,0,2020,BCG
Female,Data Scientist,55,108366,1,PhD,Administration,5108,0,2019,EY
Male,Financial Analyst,56,100769,3,High School,Engineering,6453,0,2023,Google
Female,IT,44,131411,5,High School,Sales,3084,0,2020,BCG
Male,Driver,24,51906,3,College,Management,6274,0,2020,McKinsey
Male,Sales Associate,18,80135,4,High School,Management,9007,0,2019,EY
Female,Data Scientist,24,71105,4,College,Administration,8623,0,2023,Accenture
Female,Driver,19,75919,4,High School,Operations,5613,1,2021,EY
Female,Marketing Associate,45,59006,2,High School,Management,5876,0,2021,PwC
Female,Marketing Associate,49,104355,5,PhD,Operations,7555,0,2021,Bain
Female,Data Scientist,64,87314,1,High School,Sales,3688,0,2022,BCG
Male,Data Scientist,44,114693,3,Masters,Management,6832,0,2021,Amazon
Female,Data Scientist,39,91711,3,Masters,Operations,6775,0,2021,Deloitte
Male,Sales Associate,24,66168,1,High School,Administration,9242,0,2019,Google
Female,Data Scientist,43,106452,3,PhD,Sales,5346,0,2023,Deloitte
Male,Manager,32,118088,5,Masters,Management,7721,0,2022,McKinsey
Female,Marketing Associate,35,97376,5,PhD,Engineering,9564,0,2023,Microsoft
Male,Software Engineer,51,118282,2,College,Management,3599,0,2023,McKinsey
Female,Graphic Designer,31,81826,2,College,Engineering,8375,0,2023,BCG
Female,Warehouse Associate,22,76865,4,College,Sales,8145,0,2019,EY
Female,Graphic Designer,50,76103,1,Masters,Administration,5173,0,2021,BCG
Female,Financial Analyst,30,40341,2,High School,Operations,7320,1,2019,McKinsey
Male,Software Engineer,65,122624,2,High School,Sales,4165,0,2021,Amazon
Male,Software Engineer,64,111903,2,High School,Operations,6824,1,2021,Google
Female,IT,59,92257,3,PhD,Engineering,3908,0,2019,McKinsey
Male,Financial Analyst,24,71590,3,PhD,Engineering,5845,0,2019,Accenture
Male,Graphic Designer,45,101273,2,Masters,Management,3817,0,2022,Amazon
Male,Financial Analyst,38,84628,1,Masters,Administration,5680,0,2022,Amazon
Male,Software Engineer,59,109623,1,Masters,Engineering,6897,0,2019,Deloitte
Female,Manager,28,104329,4,High School,Engineering,4962,1,2020,McKinsey
Male,Software Engineer,65,157852,5,High School,Management,6669,0,2023,Amazon
Female,Warehouse Associate,56,106722,4,College,Administration,4044,0,2020,Deloitte
Female,Data Scientist,29,84021,3,High School,Engineering,9111,0,2023,Accenture
Male,Manager,32,117629,4,High School,Operations,6291,0,2021,EY
Male,Graphic Designer,19,61000,1,Masters,Sales,8872,1,2019,Google
Female,Marketing Associate,27,87435,4,High School,Sales,9230,1,2021,Google
Female,Financial Analyst,63,95795,2,College,Sales,5723,1,2023,BCG
Female,Software Engineer,36,79177,1,PhD,Management,3661,0,2020,Capgemini
Female,Financial Analyst,62,101515,3,High School,Operations,2251,0,2023,Capgemini
Female,Financial Analyst,23,88422,5,PhD,Administration,10768,0,2022,Bain
Female,Driver,34,67210,3,High School,Management,5662,0,2020,Deloitte
Male,Graphic Designer,65,123371,4,College,Management,6931,0,2022,EY
Female,IT,34,54245,1,College,Operations,8245,0,2020,Microsoft
Female,Financial Analyst,48,114031,4,College,Administration,4510,0,2021,Accenture
Female,Warehouse Associate,38,93306,5,College,Administration,8265,0,2020,EY
Female,Marketing Associate,23,47739,2,High School,Sales,4829,1,2023,Accenture
Male,Software Engineer,65,102597,1,High School,Engineering,5937,1,2020,PwC
Male,IT,40,77881,3,College,Administration,5569,1,2020,Capgemini
Male,Financial Analyst,26,106194,4,College,Engineering,9421,1,2020,Accenture
Female,Marketing Associate,34,51331,1,Masters,Engineering,9130,0,2021,McKinsey
Male,Data Scientist,33,53855,2,High School,Engineering,4980,0,2022,IBM
Male,Manager,60,148178,2,College,Sales,6777,0,2022,McKinsey
Male,Driver,40,88230,2,High School,Sales,5512,0,2020,Bain
Female,Marketing Associate,20,69254,4,College,Sales,8609,0,2020,McKinsey
Male,Graphic Designer,23,91504,5,PhD,Management,5136,1,2021,Amazon
Male,Software Engineer,39,92154,1,PhD,Management,7642,0,2023,Deloitte
Male,Graphic Designer,47,106893,5,College,Administration,7958,0,2019,McKinsey
Male,Software Engineer,20,108080,4,Masters,Sales,10154,1,2021,Amazon
Female,IT,22,102120,4,High School,Sales,10215,0,2022,Bain
Female,Sales Associate,35,87131,4,College,Management,6356,0,2020,Google
Female,Marketing Associate,49,76806,3,Masters,Sales,6662,1,2021,Amazon
Male,Sales Associate,24,51837,2,PhD,Operations,4472,1,2021,McKinsey
Female,Data Scientist,49,125770,4,College,Engineering,7301,0,2023,IBM
Male,Data Scientist,61,122352,5,Masters,Administration,3590,0,2023,Google
Male,Driver,33,59493,1,High School,Management,3955,0,2020,Capgemini
Female,Marketing Associate,40,62040,3,Masters,Administration,8056,0,2019,Amazon
Female,Marketing Associate,46,54945,1,College,Administration,2991,0,2019,Deloitte
Male,Software Engineer,29,82534,1,High School,Management,8914,1,2022,Capgemini
Female,Financial Analyst,35,67762,2,Masters,Management,7449,1,2020,Accenture
Male,Software Engineer,40,112466,4,PhD,Management,9493,0,2020,Bain
Male,Sales Associate,45,67296,1,High School,Engineering,4780,0,2022,IBM
Male,IT,20,49622,1,PhD,Management,5452,0,2023,Microsoft
Female,IT,45,70846,2,College,Operations,7404,1,2021,Accenture
Male,Data Scientist,51,110731,4,PhD,Operations,8643,1,2022,BCG
Male,Data Scientist,40,87682,2,Masters,Management,4152,0,2020,Deloitte
Female,Warehouse Associate,44,79334,1,High School,Administration,6505,0,2023,EY
Female,Financial Analyst,54,90999,2,Masters,Operations,2963,0,2022,Capgemini
Male,Financial Analyst,60,121728,4,High School,Engineering,7932,0,2022,Google
Male,Graphic Designer,61,105632,2,Masters,Engineering,6394,0,2023,Accenture
Female,Warehouse Associate,36,74938,3,College,Management,8234,0,2021,Amazon
Female,Marketing Associate,32,73404,3,College,Sales,5038,0,2019,McKinsey
Male,Graphic Designer,43,82057,2,PhD,Management,5268,1,2021,Accenture
Female,Financial Analyst,58,98512,1,PhD,Engineering,4548,0,2020,EY
Male,Manager,60,157644,3,College,Management,7213,1,2022,Microsoft
Female,Sales Associate,52,94154,3,High School,Sales,3964,0,2021,EY
Male,Warehouse Associate,54,118322,4,Masters,Engineering,5224,0,2022,IBM
Female,Driver,38,77751,2,Masters,Management,6554,0,2020,PwC
Male,Manager,57,150914,5,PhD,Operations,5982,0,2021,Microsoft
Male,Graphic Designer,58,96609,1,Masters,Operations,3044,0,2019,Google
Female,Warehouse Associate,35,95584,4,PhD,Operations,9745,0,2020,Accenture
Female,Marketing Associate,20,60070,5,PhD,Sales,8273,0,2022,Accenture
Female,Marketing Associate,36,91713,5,High School,Operations,7627,0,2020,Microsoft
Male,IT,18,56309,1,PhD,Sales,7559,1,2023,Microsoft
Male,Sales Associate,49,101140,2,Masters,Operations,4851,0,2022,Google
Male,Manager,52,110078,1,High School,Management,1703,0,2019,PwC
Male,Warehouse Associate,38,83774,3,College,Management,7127,1,2020,Google
Female,Sales Associate,24,66887,2,High School,Administration,5014,0,2023,Bain
Female,Warehouse Associate,24,99545,5,College,Administration,9949,0,2022,PwC
Male,Manager,48,106056,1,PhD,Operations,4161,0,2021,Microsoft
Male,Manager,48,138851,5,College,Management,6929,1,2021,BCG
